,precision,recall,f1-score,support
AGN,1.0,0.71,0.8304093567251462,100.0
CART,0.3577981651376147,0.39,0.37320574162679426,100.0
Cepheid,0.8854166666666666,0.85,0.8673469387755102,100.0
Delta Scuti,0.7605633802816901,0.54,0.631578947368421,100.0
Dwarf Novae,0.8440366972477065,0.92,0.8803827751196173,100.0
EB,0.8317757009345794,0.89,0.8599033816425121,100.0
ILOT,0.7121212121212122,0.47,0.5662650602409639,100.0
KN,0.7264957264957265,0.85,0.783410138248848,100.0
M-dwarf Flare,0.9285714285714286,0.91,0.9191919191919192,100.0
PISN,0.6548672566371682,0.74,0.6948356807511737,100.0
RR Lyrae,0.6153846153846154,0.64,0.6274509803921569,100.0
SLSN,0.7555555555555555,0.68,0.7157894736842105,100.0
SNI91bg,0.6565656565656566,0.65,0.6532663316582915,100.0
SNII,0.40540540540540543,0.3,0.3448275862068966,100.0
SNIa,0.39869281045751637,0.61,0.48221343873517786,100.0
SNIax,0.38461538461538464,0.45,0.4147465437788018,100.0
SNIb/c,0.4,0.44,0.41904761904761906,100.0
TDE,0.5925925925925926,0.48,0.5303867403314917,100.0
uLens,0.7304347826086957,0.84,0.7813953488372093,100.0
accuracy,0.6505263157894737,0.6505263157894737,0.6505263157894737,0.6505263157894737
macro avg,0.6653101598568008,0.6505263157894736,0.6513502106506718,1900.0
weighted avg,0.6653101598568009,0.6505263157894737,0.6513502106506717,1900.0
